IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Rating,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Investing CF,Financing CF,Profit Margin,Tax / Revenue,Equity,Working Capital
2020-10-29,LESL,"Leslie's, Inc.",17.00,3.99,-76.53%,736206870,40000000,680000000,20.60,-80.63%,NASDAQ,Consumer Discretionary,Specialty Retail,United States,4100,1963,8174614,Hold,,,,1430065000,-9.05%,-10.84%,533335000,-20.60%,17948000,-87.47%,126663000,-49489000,-63813000,1.26%,0.39%,-198648000,187471000
2020-10-29,GLTO,"Galecto, Inc.",15.00,0.67,-95.54%,18135685,5666667,85000005,15.00,-95.54%,NASDAQ,Healthcare,Biotechnology,United States,13,2011,26148,Hold,,,,,,,,,-38349000,,-37519000,22330000,2876000,,,32331000,30944000
2020-10-29,DSAC,Duddell Street Acquisition Corp.,10.00,8.36,-16.40%,,,,,,,,,Hong Kong,,,,,,,,,,,,,,,,,,,,,
2020-10-28,MAX,"MediaAlpha, Inc.",19.00,18.41,-3.11%,1211650192,9250000,175750000,23.00,-19.96%,NYSE,Communication Services,Internet Content & Information,United States,137,2014,206042,Buy,,,,388149000,-15.45%,-5.51%,66712000,-4.78%,-40420000,,-17603000,-73000,-17429000,-10.41%,-0.12%,-10294000,-5148000
2020-10-28,ROOT,"Root, Inc.",27.00,62.66,132.07%,914836000,26830845,724432815,468.00,-86.61%,NASDAQ,Financials,Insurance - Property & Casualty,United States,680,,229785,Buy,,,,455000000,46.40%,173.21%,123700000,,-147400000,,-88700000,-45700000,-4100000,-32.40%,,165700000,
2020-10-28,GATO,"Gatos Silver, Inc.",7.00,10.16,45.14%,702878960,21430000,150010000,6.50,56.31%,NYSE,Materials,Other Precious Metals & Mining,United States,19,,357476,Buy,,,,,,,,,12860000,-11.49%,13732000,59500000,-9000000,,,367547000,
2020-10-28,ABST,Absolute Software Corporation,11.00,11.49,4.45%,610809536,5454546,60000006,,,,Technology,Software - Application,Canada,530,1993,,,,,,,,,,,,,,,,,,,
2020-10-28,BOAC,Bluescape Opportunities Acquisition Corp.,10.00,10.03,0.30%,226546607,57500000,575000000,,,NYSE,Financials,Shell Companies,United States,,,6927,,,,,,,,,,10655053,-79.13%,10655053,,,,,-27756193,185057
2020-10-28,BDSX,"Biodesix, Inc.",18.00,1.26,-93.00%,144334260,4000000,72000000,13.59,-90.73%,NASDAQ,Healthcare,Diagnostics & Research,United States,217,,14356,Strong Buy,,,,49087000,28.46%,52.68%,36077000,49.96%,-52146000,,-37103000,-23062000,29129000,-106.23%,,4580000,6267000
2020-10-28,ACIC,Atlas Crest Investment Corp.,10.00,9.48,-5.20%,,50000000,500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
