IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Premkt. Price,Volume,Country,Employees,Sector,Industry,Founded,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Gross Profit,Rev. Growth (Q),GP Growth,EBITDA,Investing CF,Financing CF,Net CF,Working Capital,Equity,Rating
2023-02-28,BMR,Beamr Imaging Ltd.,4.00,5.50,37.50%,82993609,1950000,7800000,3.94,39.59%,NASDAQ,5.55,216967,Israel,26,Technology,Software - Application,2009,,,,2909000,-11.85%,2813000,,-12.37%,-852000,-193000,6275000,5423000,5824000,10260000,
2023-02-15,DIST,Distoken Acquisition Corporation,10.00,10.70,6.95%,68765556,6000000,60000000,,,NASDAQ,,15267,China,,Financials,Shell Companies,2020,,,,,,,,,,,,,758714,897658,
2023-02-15,GXAI,Gaxos.ai Inc.,4.15,5.01,20.72%,5479297,12104593,50234061,54.60,-90.82%,NASDAQ,4.36,133539,United States,3,Communication Services,Electronic Gaming & Multimedia,2021,,,,256,,256,,,-3937448,-2533213,5858734,344929,3372503,3425910,
2023-02-14,MARX,Mars Acquisition Corp.,10.00,10.72,7.20%,99610240,6000000,60000000,,,NASDAQ,,153,United States,,Financials,Shell Companies,2021,,,,,,,,,,,,,72074531,442130,
2023-02-14,BFRG,"Bullfrog AI Holdings, Inc.",6.50,2.86,-56.00%,22452573,1317647,8564706,5.30,-46.04%,NASDAQ,3.10,44222,United States,11,Healthcare,Health Information Services,2017,,,,65000,550.00%,59800,,550.00%,-5275055,,8568359,2567060,2586262,2592236,
2023-02-10,ENLT,Enlight Renewable Energy Ltd,18.00,15.66,-13.00%,1847739060,14000000,252000000,17.90,-12.51%,NASDAQ,,19262,Israel,287,Utilities,Utilities - Renewable,2008,,,,255702000,33.06%,139059000,21.29%,25.09%,233291000,-798065000,855305000,206860000,81353000,1168759000,Buy
2023-02-10,MLYS,"Mineralys Therapeutics, Inc.",16.00,11.04,-31.00%,547928006,12000000,192000000,21.10,-47.68%,NASDAQ,,47381,United States,28,Healthcare,Biotechnology,2019,,,,,,,,,-71898000,-160472000,203248000,-38397000,238621000,241154000,Strong Buy
2023-02-10,PTHR,"Pono Capital Three, Inc.",10.00,5.72,-42.80%,126069366,10000000,100000000,,,NASDAQ,,17445,United States,,Financials,Shell Companies,2022,,,,,,,,,,,,,-1028132,-12511121,
2023-02-10,BLAC,Bellevue Life Sciences Acquisition Corp.,10.00,10.69,6.85%,60081263,6000000,60000000,,,NASDAQ,,6121,United States,,Financials,Shell Companies,2020,,,,,,,,,,,,,26443,-1830236,
2023-02-09,NXT,Nextracker Inc.,24.00,42.98,79.08%,6218464982,26600000,638400000,30.31,41.80%,NASDAQ,43.87,2858293,United States,606,Technology,Solar,2013,,,,2281721000,25.12%,562891000,38.38%,138.90%,379503000,-4380000,-80651000,267737000,659523000,-3117013000,Strong Buy
2023-02-09,HSAI,Hesai Group,19.00,4.17,-78.05%,543808570,10000000,190000000,23.75,-82.44%,NASDAQ,4.34,234456,China,1020,Consumer Discretionary,Auto Parts,2014,,,,264737518,56.07%,91284989,37.15%,40.13%,-48531165,-146358003,219504776,81050075,422694750,533086457,Buy
2023-02-09,LSDI,Lucy Scientific Discovery Inc.,4.00,0.87,-78.25%,1535337,1875000,7500000,40.00,-97.82%,NASDAQ,0.84,76188,Canada,2,Healthcare,Drug Manufacturers - Specialty & Generic,2017,,,,16732,,8364,,,-9749360,-423000,6638422,185061,-2148398,81158,
2023-02-06,LICN,Lichen China Limited,4.00,1.10,-72.50%,29700000,4500000,18000000,3.90,-71.79%,NASDAQ,1.08,6008040,China,406,Industrials,Specialty Business Services,2004,,,,39759000,15.93%,24320000,,18.78%,14583000,-9865000,14098000,3257000,36040000,61420000,
2023-02-03,GPCR,Structure Therapeutics Inc.,15.00,38.98,159.87%,1816391638,10740000,161100000,25.00,55.92%,NASDAQ,,396030,United States,93,Healthcare,Biotechnology,2016,,,,,,,,,-88455000,-268342000,451531000,103701000,448868000,452966000,Strong Buy
2023-02-03,ASST,Asset Entities Inc.,5.00,0.39,-92.20%,5625515,1500000,7500000,5.88,-93.37%,NASDAQ,,71222,United States,11,Communication Services,Internet Content & Information,2020,,,,277038,-19.26%,100265,28.41%,-46.63%,-4930463,-113559,6708328,2787146,2809463,2922288,
2023-02-01,CETU,Cetus Capital Acquisition Corp.,10.00,10.55,5.50%,40520546,5000000,50000000,,,NASDAQ,,,"Taiwan, Province of China",,Financials,Shell Companies,2022,,,,,,,,,,,,,-77427,3735975,
2023-01-27,TXO,TXO Partners L.P.,20.00,18.64,-6.80%,573180000,5000000,100000000,22.00,-15.27%,NYSE,,65168,United States,184,Energy,Oil & Gas Exploration & Production,2012,2.32,12.45%,,380718000,54.51%,160573000,117.13%,576.24%,-55276000,-46220000,-35629000,-4699000,16073000,473798000,Strong Buy
2023-01-27,BREA,Brera Holdings PLC,5.00,1.41,-71.80%,16081050,1500000,7500000,5.00,-71.80%,NASDAQ,,67314,Ireland,,Communication Services,Entertainment,2022,,,,120788,-48.82%,50868,,-66.21%,-2481490,-976600,7698283,4921082,4282860,4959615,
2023-01-26,GNLX,Genelux Corporation,6.00,3.32,-44.67%,89193370,2500000,15000000,6.00,-44.67%,NASDAQ,,147726,United States,23,Healthcare,Biotechnology,2001,,,,170000,-98.46%,170000,,-98.46%,-27625000,-14724000,44020000,9021000,17649000,19473000,Strong Buy
2023-01-25,QSG,QuantaSing Group Ltd,12.50,3.30,-73.60%,183080819,3250000,40625000,13.70,-75.91%,NASDAQ,,83139,China,1029,Consumer Staples,Education & Training Services,2019,,,,3485268000,26.02%,414677146,24.68%,26.81%,,,,,40740102,49773678,Hold
2023-01-20,CVKD,"Cadrenal Therapeutics, Inc.",5.00,0.42,-91.53%,6781187,1400000,7000000,5.71,-92.58%,NASDAQ,0.43,54968,United States,4,Healthcare,Biotechnology,2022,,,,,,,,,-8337713,-3254,11903491,8369914,7665298,7692375,Strong Buy
2023-01-13,SKWD,"Skyward Specialty Insurance Group, Inc.",15.00,35.96,139.73%,1438221135,8952383,134285745,18.90,90.26%,NASDAQ,,163944,United States,515,Financials,Insurance - Property & Casualty,2007,,,,885969000,37.91%,370732000,31.45%,54.53%,124017000,-493809000,130947000,-24675000,,661031000,Buy
2023-01-13,ISRL,Israel Acquisitions Corp,10.00,10.92,9.20%,139926128,12500000,125000000,,,NASDAQ,,774,United States,3,Financials,Shell Companies,2021,,,,,,,,,,,,,143773673,-4159585,
2023-01-13,MGOL,MGO Global Inc.,5.00,0.24,-95.30%,3828944,1500000,7500000,8.60,-97.27%,NASDAQ,,277846,United States,20,Communication Services,Advertising Agencies,2018,,,,5359875,411.43%,3346780,125.37%,371.12%,-7136446,-325964,8125711,820959,602286,1510191,
