IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Close,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Profit Margin,Tax / Revenue,Equity,Working Capital,Rating
2022-03-24,RFAC,RF Acquisition Corp.,10.00,10.93,9.30%,78510485,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Singapore,2,2021,2692,10.90,,,,,,,,,483382,,1034161,,,-1224090,-77979109,
2022-03-17,GDST,Goldenstone Acquisition Limited,10.00,11.08,10.80%,75625084,5000000,50000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,1,11.08,,,,,,,,,145511,,447007,,,-2097189,-648141,
2022-03-15,AKAN,Akanda Corp.,4.00,0.09,-97.71%,1091622,4000000,16000000,300.00,-99.97%,NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,46,2021,1412492,0.09,,,,3944029,,,4111662,,-14941812,,-10410308,-378.85%,,21649043,-9130811,
2022-03-11,NUBI,Nubia Brand International Corp.,10.00,4.53,-54.70%,32301695,11000000,110000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,78275,5.76,,,,,,,,,1197875,,2093594,,,-8450744,-4170531,
2022-03-10,PLAO,Patria Latin American Opportunity Acquisition Corp.,10.00,11.33,13.30%,256403327,20000000,200000000,,,NASDAQ,Financials,Shell Companies,Cayman Islands,2,2021,3855,11.33,,,,,,,,,12364823,,12364823,,,-9736503,233144658,
2022-03-09,LBBB,Lakeshore Acquisition II Corp.,10.00,3.00,-70.00%,10764480,6000000,60000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,136261,5.00,,,,,,,,,876869,,876869,,,-3076994,40223989,
2022-03-02,SPCM,"Sound Point Acquisition Corp I, Ltd",10.00,10.62,6.20%,343491167,22500000,225000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,1275254,10.62,,,,,,,,,18594624,,18594624,,,-11082365,848273,
2022-03-02,SHUA,SHUAA Partners Acquisition Corp I,10.00,10.96,9.60%,57886446,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Cayman Islands,,2021,21,10.96,,,,,,,,,1662283,,1662283,,,-3647156,698844,
2022-03-02,KCAC,Kensington Capital Acquisition Corp. IV,10.00,9.21,-7.90%,,,,,,,,,United States,,2021,,,,,,,,,,,,,,,,,,
2022-03-01,VMCA,Valuence Merger Corp. I,10.00,11.42,14.20%,133764733,20000000,200000000,,,NASDAQ,Financials,Shell Companies,United States,4,2021,468,11.43,,,,,,,,,4771471,656.65%,4771471,,,-11893772,-3928291,
2022-02-25,GSRM,GSR II Meteora Acquisition Corp.,10.00,3.23,-67.70%,127685776,27500000,275000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,517057,3.23,,,,,,,,,-962302,,566741,,,-4288047,-5966853,
2022-02-25,FGMC,FG Merger Corp.,10.00,4.82,-51.80%,48960596,7000000,70000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,47084,4.82,,,,,,,,,-66283,,548656,,,-2119863,-2119864,
2022-02-24,CLIN,Clean Earth Acquisitions Corp.,10.00,5.00,-50.00%,83521200,20000000,200000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,167579,5.70,,,,,,,,,2173375,,,,,-7459998,230535678,
2022-02-18,PWUP,PowerUp Acquisition Corp.,10.00,11.15,11.50%,100252203,25000000,250000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,56217,11.13,,,,,,,,,6300496,,6300496,,,-10262466,550034,
2022-02-18,ONCO,"Onconetix, Inc.",9.00,0.12,-98.66%,2687879,2222222,19999998,50.00,-99.76%,NASDAQ,Healthcare,Biotechnology,United States,12,2018,89521,0.12,,,,58465,,,-1127165,,-37409694,,-36706725,-63986.48%,-21.54%,-5602028,-11351976,
2022-02-16,AXAC,AXIOS Sustainable Growth Acquisition Corporation,10.00,10.43,4.30%,87863989,15000000,150000000,,,OTCMKTS,Financials,Shell Companies,GA,,2021,1,10.43,,,,,,,,,,,,,,176486182,-632794,
2022-02-16,FTII,FutureTech II Acquisition Corp.,10.00,11.12,11.20%,64940741,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,1,11.65,,,,,,,,,1578814,,2149157,,,-4550477,-1920820,
2022-02-16,MHUA,"Meihua International Medical Technologies Co., Ltd.",10.00,0.66,-93.39%,16019119,5000000,50000000,10.00,-93.39%,NASDAQ,Healthcare,Medical Instruments & Supplies,China,626,1990,22810,0.65,,,,97098915,-6.67%,,33198318,-16.60%,11625417,-44.51%,15804924,11.97%,3.56%,146331840,107164195,
2022-02-16,SMFL,"Smart for Life, Inc.",10.00,3.50,-65.00%,915723,1800000,18000000,9450.00,-99.96%,OTCMKTS,Consumer Staples,Packaged Foods,United States,145,2002,552106,4.36,,,,11107574,-39.39%,-48.66%,1577168,-78.58%,-24219228,,-13013572,-218.04%,49.44%,951836,-11375566,
2022-02-15,GENQ,Genesis Unicorn Capital Corp.,10.00,10.47,4.70%,84008767,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,90242,10.47,,,,,,,,,-866057,,-534225,,,-4188508,-2167214,
2022-02-15,ASCA,A SPAC I Acquisition Corp.,10.00,9.16,-8.40%,33467284,6000000,60000000,,,NASDAQ,Financials,Shell Companies,Singapore,,2021,525349,9.16,,,,,,,,,706268,,706268,,,-3062725,34695923,
2022-02-11,MDV,Modiv Inc.,25.00,15.00,-40.00%,137591325,40000,1000000,23.08,-35.02%,NYSE,Real Estate,REIT - Diversified,United States,12,2015,32953,15.18,1.15,7.67%,4.06%,46936599,7.11%,-10.98%,41775582,12.08%,-10301342,,22744169,-21.95%,,144443338,,Strong Buy
2022-02-11,SGHL,Signal Hill Acquisition Corp.,10.00,10.43,4.25%,130312500,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,108024,10.43,,,,,,,,,1493242,,2160169,,,381607,-102320,
2022-02-11,DRCT,"Direct Digital Holdings, Inc.",5.50,6.12,11.27%,84825795,2750000,15125000,4.30,42.33%,NASDAQ,Communication Services,Advertising Agencies,United States,69,2018,66370,6.24,,,,146841547,105.32%,128.87%,37003219,44.55%,4624956,642.70%,11306617,3.15%,0.19%,6396883,8631461,Strong Buy
2022-02-11,RACY,Relativity Acquisition Corp.,10.00,14.59,22.80%,54041824,12500000,125000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,,12.28,,,,,,,,,2061464,49.10%,2486788,,,-1075748,-379116,
